,25
-58,125,20,29,28,28,27,26,26,26,26,26,25,25,26,26,27,27,28,27,26,26,26,25,25,24,23,23,5,0,0,0,0,0,0,0,0,0,4,17,17,17,18,19,19,20,21,22,23,23,24,24,24,23,24,24,23,23,24,25,25,26,27,28,29
-58,125,20,27,27,26,26,25,25,24,24,24,24,24,24,24,25,26,26,26,25,25,25,24,24,24,23,22,6,0,0,0,0,0,0,0,0,0,5,17,17,17,18,18,19,20,20,20,21,23,23,22,21,21,22,22,22,22,22,23,24,25,26,26,26
-58,125,20,30,29,28,27,27,27,26,26,25,26,26,26,27,27,28,28,28,27,27,26,25,24,24,23,23,5,0,0,0,0,0,0,0,0,0,4,17,18,18,19,19,20,20,20,21,21,23,24,24,24,24,24,23,23,23,24,24,25,26,27,29,30
-58,125,20,26,26,26,26,25,25,24,24,24,24,24,24,25,26,26,26,26,25,26,24,24,24,24,22,22,6,0,0,0,0,0,0,0,0,0,4,16,16,17,17,18,19,20,19,20,21,21,22,22,21,21,22,22,21,23,23,23,24,24,25,26,26
-58,125,20,26,25,24,24,24,24,23,23,24,23,23,24,24,24,25,25,24,24,24,23,23,22,22,21,21,4,0,0,0,0,0,0,0,0,0,3,15,15,16,17,17,17,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,23,23,23,25,26
-58,125,20,29,29,29,28,28,27,27,26,25,26,26,26,26,26,27,28,27,27,27,26,26,25,24,24,24,6,0,0,0,0,0,0,0,0,0,4,17,17,18,18,19,19,19,20,21,22,23,23,23,23,23,24,23,23,24,24,25,25,26,27,28,28
-58,125,20,22,23,22,22,22,22,21,20,20,20,21,22,22,22,23,23,23,23,22,21,20,20,19,19,18,4,0,0,0,0,0,0,0,0,0,3,13,14,14,15,16,16,17,17,17,18,18,19,19,19,19,19,19,19,19,19,20,19,19,20,23,23
-58,125,20,26,26,25,24,24,24,23,23,23,23,23,23,23,24,25,26,25,25,24,23,22,22,22,21,20,5,0,0,0,0,0,0,0,0,0,3,15,15,16,17,18,18,19,19,20,20,21,21,21,21,21,21,21,21,22,22,22,22,23,24,24,24
-58,125,20,26,26,26,26,26,25,25,24,25,25,25,25,25,25,26,27,26,26,25,25,24,23,23,23,22,6,0,0,0,0,0,0,0,0,0,4,16,16,17,18,19,19,20,20,21,22,22,23,22,22,22,22,22,22,22,23,23,23,24,25,25,25
-58,125,20,29,29,29,28,27,27,26,27,27,28,26,26,27,27,28,28,28,27,27,26,26,25,25,24,23,5,0,0,0,0,0,0,0,0,0,5,17,17,18,19,20,20,21,21,21,22,23,24,23,23,22,24,23,23,24,25,25,25,27,28,29,29
-58,125,20,29,29,29,29,27,27,27,26,27,27,27,27,27,28,29,29,28,27,27,27,26,26,25,25,24,5,0,0,0,0,0,0,0,0,0,4,17,17,19,19,20,20,20,22,22,23,24,24,24,24,24,24,24,24,25,26,25,26,27,28,29,29
-58,125,20,26,26,25,25,25,24,23,23,24,24,24,24,25,25,25,25,25,26,25,25,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,4,16,16,16,17,18,19,20,19,20,21,21,22,21,21,21,21,22,21,22,22,23,23,24,24,26,26
-58,125,20,25,25,25,25,25,24,24,23,24,23,23,24,24,24,25,25,25,25,25,24,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,3,15,16,17,17,17,19,19,19,20,21,21,22,21,21,21,21,21,22,21,22,23,22,23,24,25,26
-58,125,20,29,29,28,27,28,27,27,26,26,26,27,27,28,28,28,27,27,28,27,27,25,25,24,24,23,5,0,0,0,0,0,0,0,0,0,4,17,17,19,19,19,20,21,22,22,22,23,23,23,23,23,23,24,23,24,24,25,25,26,27,29,29
-58,125,20,25,26,24,25,25,24,23,22,21,23,24,24,24,24,25,25,25,25,23,23,22,21,21,21,21,5,0,0,0,0,0,0,0,0,0,3,15,15,16,16,17,18,19,18,19,19,20,21,20,20,20,20,20,20,22,22,22,21,22,23,25,26
-58,125,20,29,30,30,29,29,28,28,28,27,28,28,28,28,29,29,29,29,29,28,27,27,25,26,24,24,6,0,0,0,0,0,0,0,0,0,5,18,19,19,20,21,21,22,22,22,23,25,25,24,25,24,25,24,24,25,25,25,26,27,28,29,30
-58,125,20,26,26,26,26,25,25,24,25,25,25,25,25,25,26,26,27,25,25,25,25,24,25,23,22,21,6,0,0,0,0,0,0,0,0,0,4,16,17,18,18,18,19,20,20,21,22,22,22,21,21,21,22,21,21,22,23,23,24,25,25,25,25
-58,125,20,26,26,25,24,23,24,23,23,23,23,24,24,24,25,25,25,25,25,24,24,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,4,15,16,16,17,18,19,19,20,20,20,21,22,21,21,21,21,22,22,21,21,22,23,24,24,25,26
-58,125,20,26,26,25,25,25,25,24,24,25,24,24,24,25,25,25,25,26,26,26,24,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,3,15,16,16,17,18,19,20,19,20,21,21,21,21,21,21,21,21,21,22,22,22,22,23,24,24,26
-58,125,20,26,26,26,25,25,25,23,24,24,25,24,24,24,25,25,26,26,25,25,25,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,3,16,15,16,17,18,19,19,19,20,21,22,22,22,22,21,21,21,21,21,22,22,22,23,25,25,26
-58,125,20,26,26,25,25,24,24,24,24,24,23,24,24,25,25,26,26,26,25,25,24,24,22,23,22,21,5,0,0,0,0,0,0,0,0,0,4,16,16,17,17,17,18,19,19,20,21,21,22,22,21,21,21,21,21,21,21,22,23,23,24,26,27
-58,125,20,26,26,25,25,25,25,24,24,25,25,24,24,24,25,25,26,26,25,25,24,24,23,23,23,22,6,0,0,0,0,0,0,0,0,0,4,16,17,17,18,19,19,20,20,21,21,22,22,22,22,22,22,22,22,22,23,23,24,24,25,26,26
-58,125,20,29,29,29,29,28,27,27,25,25,26,26,27,27,27,28,28,28,28,27,26,25,24,24,24,24,6,0,0,0,0,0,0,0,0,0,4,17,17,18,18,19,20,20,20,20,21,22,22,23,23,23,23,23,23,24,25,25,25,25,27,29,30
-58,125,20,31,30,29,28,29,29,28,27,27,28,28,28,28,29,29,29,29,28,28,27,27,26,25,25,25,7,0,0,0,0,0,0,0,0,0,5,18,19,19,20,20,20,21,22,23,24,24,25,25,25,24,24,24,25,25,25,26,27,28,29,29,30
-58,125,20,30,30,30,29,29,28,28,27,27,27,27,27,28,28,29,29,29,28,28,27,27,26,25,24,24,6,0,0,0,0,0,0,0,0,0,5,18,19,20,20,20,21,21,22,22,23,25,25,25,24,24,25,25,24,25,26,26,27,27,28,29,30
-58,125,20,30,30,29,29,28,28,27,27,26,26,27,27,27,28,29,28,28,28,27,27,26,25,25,24,24,6,0,0,0,0,0,0,0,0,0,5,17,18,19,20,20,21,22,22,22,24,25,25,25,24,24,25,25,25,25,25,26,26,27,28,29,29
-58,125,20,29,29,29,28,27,27,27,25,25,26,26,27,27,27,28,27,27,27,27,26,25,25,24,24,23,6,0,0,0,0,0,0,0,0,0,4,17,18,18,19,19,19,21,21,22,23,23,24,23,23,23,24,24,23,24,25,25,25,26,27,29,30
-58,125,20,30,30,30,29,29,28,27,27,27,27,28,28,28,28,29,29,29,29,28,28,26,25,25,25,25,6,0,0,0,0,0,0,0,0,0,4,18,18,19,20,20,22,21,21,22,22,24,24,24,24,24,24,25,25,26,26,26,26,27,29,30,31
-58,125,20,29,29,28,27,27,27,26,26,27,27,26,26,26,27,28,28,27,27,27,26,26,26,25,24,23,5,0,0,0,0,0,0,0,0,0,4,18,17,19,19,19,20,21,22,22,23,24,24,24,24,23,24,24,24,24,24,25,26,27,28,29,28
-58,125,20,26,25,25,25,24,25,24,23,23,24,24,24,24,25,25,26,27,26,24,24,23,23,22,22,20,5,0,0,0,0,0,0,0,0,0,3,15,15,17,17,17,18,19,19,20,20,21,21,21,20,20,21,21,21,21,22,21,22,23,24,26,26
-58,125,20,26,25,25,25,25,24,23,23,23,24,24,25,25,25,25,25,25,26,25,24,23,22,22,21,21,5,0,0,0,0,0,0,0,0,0,4,15,16,16,17,18,19,19,20,20,20,21,22,22,22,22,22,21,21,22,22,23,23,22,24,26,27
-58,125,20,29,29,28,27,27,26,26,26,26,26,26,26,26,27,27,28,28,27,27,26,25,24,24,23,23,5,0,0,0,0,0,0,0,0,0,4,16,17,18,19,19,20,20,21,21,22,22,23,23,22,22,24,23,23,24,24,25,25,26,26,28,29
-58,125,20,26,25,25,24,24,24,24,24,24,24,23,23,24,25,25,26,25,25,25,24,23,23,22,21,20,5,0,0,0,0,0,0,0,0,0,4,16,16,16,17,17,18,18,19,19,20,20,21,21,20,20,20,20,20,20,20,21,22,23,24,25,25
-58,125,20,26,26,25,25,24,24,24,23,23,24,24,24,25,25,25,25,25,25,24,24,24,23,22,22,22,5,0,0,0,0,0,0,0,0,0,4,16,16,17,17,17,18,18,18,19,19,20,20,20,20,20,21,20,20,21,21,22,23,24,25,25,25
-58,125,20,29,29,29,28,27,28,27,26,27,27,27,27,28,28,28,29,28,27,27,26,26,25,25,24,24,6,0,0,0,0,0,0,0,0,0,4,17,17,18,19,19,20,21,21,22,22,23,24,23,23,23,23,23,24,24,24,25,26,26,27,29,29
-58,125,20,29,28,28,27,27,27,26,26,27,26,26,26,26,26,27,27,28,28,26,26,25,24,24,23,23,5,0,0,0,0,0,0,0,0,0,4,17,17,17,18,19,20,20,21,21,22,23,23,24,24,24,24,24,23,23,24,24,24,25,27,28,29
-58,125,20,30,29,29,29,29,28,28,28,29,29,28,27,27,29,29,29,29,28,29,27,26,27,25,24,24,6,0,0,0,0,0,0,0,0,0,5,17,18,19,20,21,20,21,22,22,24,25,25,24,24,24,24,24,25,24,25,26,27,28,29,30,30
-58,125,20,31,31,30,29,29,28,28,27,27,27,27,27,28,28,29,29,28,28,28,27,27,26,25,25,24,6,0,0,0,0,0,0,0,0,0,5,18,19,19,20,20,21,22,22,22,23,24,24,24,24,24,24,24,24,25,25,26,27,28,28,29,29
-58,125,20,26,26,25,25,25,25,25,24,24,25,24,24,25,25,26,26,27,26,25,25,25,23,23,23,22,6,0,0,0,0,0,0,0,0,0,4,16,17,17,18,19,19,19,20,20,21,22,22,22,22,22,22,22,22,22,23,23,24,24,25,26,27
-58,125,20,29,29,29,27,27,27,27,27,28,28,26,26,27,28,28,28,28,27,27,26,26,25,24,24,23,5,0,0,0,0,0,0,0,0,0,4,17,17,18,19,19,19,20,21,22,22,23,23,24,23,23,24,23,23,24,24,24,26,27,28,29,28
-58,125,20,29,29,28,27,27,27,27,26,26,26,26,26,26,28,27,28,28,27,27,26,25,25,24,23,23,5,0,0,0,0,0,0,0,0,0,4,17,16,17,18,19,20,20,21,22,22,23,23,24,23,23,24,24,23,24,24,24,25,25,27,28,28
-58,125,20,29,29,28,27,27,27,26,26,26,26,26,26,27,27,28,27,27,27,26,26,25,24,24,24,23,5,0,0,0,0,0,0,0,0,0,4,16,17,18,18,19,20,21,21,21,22,23,24,24,23,23,24,24,23,24,24,25,25,25,27,29,29
-58,125,20,25,25,25,25,24,24,24,24,24,24,23,23,24,24,25,25,25,25,24,23,23,23,22,21,20,5,0,0,0,0,0,0,0,0,0,3,14,15,16,17,17,18,18,18,20,20,20,21,20,20,20,20,20,20,21,22,21,22,23,24,25,25
-58,125,20,26,26,26,25,25,25,24,24,24,24,24,24,25,25,26,25,26,26,25,25,24,23,23,22,21,6,0,0,0,0,0,0,0,0,0,4,15,16,17,18,18,19,20,20,20,21,22,22,22,21,22,22,22,22,22,22,22,22,23,24,25,26
-58,125,20,29,30,29,28,28,28,27,26,27,27,27,27,27,28,29,29,28,28,27,27,25,25,24,24,24,5,0,0,0,0,0,0,0,0,0,4,17,17,18,19,19,20,21,22,22,22,23,23,23,23,23,24,24,24,24,25,25,26,25,27,29,29
-58,125,20,26,26,25,24,24,23,23,24,24,24,24,24,25,25,25,25,25,25,25,24,23,22,22,21,21,5,0,0,0,0,0,0,0,0,0,4,16,16,16,16,18,19,20,20,21,20,21,21,22,22,22,21,21,22,21,22,22,23,24,24,26,26
-58,125,20,26,26,26,26,25,25,24,24,24,25,24,24,25,25,26,26,26,25,25,24,24,23,23,22,22,5,0,0,0,0,0,0,0,0,0,4,17,17,18,18,18,19,20,20,21,21,22,23,23,22,22,23,22,22,22,23,23,23,23,24,26,26
-58,125,20,29,28,28,28,26,27,27,26,26,26,25,26,26,27,28,28,27,27,27,26,25,24,24,23,23,5,0,0,0,0,0,0,0,0,0,3,17,17,18,18,19,19,20,21,21,21,22,23,23,23,23,24,23,23,24,24,25,25,25,27,28,29
-58,125,20,26,27,26,26,25,25,25,24,24,25,25,25,26,26,26,27,26,26,26,25,24,24,23,23,22,6,0,0,0,0,0,0,0,0,0,4,17,17,17,18,19,19,20,20,21,21,22,23,23,22,22,22,22,22,22,22,24,24,24,25,26,26
-58,125,20,26,26,26,25,25,24,24,23,23,24,24,24,25,25,25,25,25,25,24,24,23,23,22,21,21,5,0,0,0,0,0,0,0,0,0,4,16,16,17,17,18,18,19,19,19,20,20,21,21,21,20,21,21,21,21,22,22,23,23,24,25,26
-58,125,20,30,30,29,29,28,28,27,26,26,27,27,26,26,28,29,29,28,28,27,27,25,25,25,24,24,6,0,0,0,0,0,0,0,0,0,5,17,18,19,20,20,21,22,22,22,23,24,25,24,23,24,24,24,25,25,25,25,26,27,28,29,29
-58,125,20,29,29,29,27,27,26,26,26,26,26,26,26,26,28,28,28,28,27,27,26,26,25,25,23,22,5,0,0,0,0,0,0,0,0,0,4,17,17,18,19,19,20,20,20,21,22,22,23,24,22,22,23,24,23,24,24,25,26,26,28,28,29
-58,125,20,30,30,29,29,29,28,27,27,28,27,27,27,27,28,28,28,28,28,27,27,26,26,25,25,24,6,0,0,0,0,0,0,0,0,0,5,18,19,19,20,20,21,21,22,22,23,24,25,24,24,24,24,24,24,25,26,26,27,27,28,29,30
-58,125,20,26,27,26,26,26,25,24,24,25,25,25,25,25,25,26,26,27,26,25,25,24,23,23,23,23,6,0,0,0,0,0,0,0,0,0,4,16,17,18,18,18,19,20,20,20,21,21,22,21,21,21,22,22,22,23,23,23,24,24,25,26,27
-58,125,20,30,30,29,29,29,28,28,28,28,29,28,28,28,29,29,29,29,29,28,28,27,26,25,25,24,6,0,0,0,0,0,0,0,0,0,5,17,18,18,19,20,21,21,21,22,22,23,24,24,24,23,24,24,24,25,25,26,26,27,28,30,30
-58,125,20,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,25,25,24,23,23,22,22,6,0,0,0,0,0,0,0,0,0,4,16,17,18,18,19,19,20,20,20,21,21,21,21,21,21,22,22,21,22,22,23,24,25,25,25,25
-58,125,20,27,27,26,26,25,26,25,25,25,25,24,24,25,25,26,26,26,26,26,25,25,24,24,22,21,6,0,0,0,0,0,0,0,0,0,4,16,16,17,17,18,18,18,19,21,21,22,22,22,22,20,21,21,21,21,22,23,23,24,25,26,26
-58,125,20,27,27,26,26,25,25,25,24,25,25,25,25,25,25,26,26,26,26,25,25,24,23,23,22,22,6,0,0,0,0,0,0,0,0,0,5,17,17,18,18,19,19,19,20,20,21,21,22,21,21,21,21,21,22,22,23,23,24,24,25,26,27
-58,125,20,30,29,29,28,28,27,27,26,27,27,27,27,28,28,29,29,28,28,27,26,26,25,26,24,24,6,0,0,0,0,0,0,0,0,0,4,17,18,18,19,19,20,21,21,22,23,24,24,24,24,24,24,24,23,25,25,25,26,27,29,29,29
-58,125,20,26,27,26,26,25,25,25,24,25,26,24,24,24,26,26,26,26,26,26,25,24,24,24,22,21,5,0,0,0,0,0,0,0,0,0,5,17,17,17,18,19,19,19,20,20,22,22,22,22,21,21,22,22,22,22,22,24,24,25,25,25,25
-58,125,20,26,26,25,25,24,24,23,23,24,24,23,23,24,25,25,26,25,25,24,24,23,23,22,22,21,5,0,0,0,0,0,0,0,0,0,3,15,16,16,17,18,18,19,19,20,20,21,21,21,21,21,21,21,21,21,22,22,23,23,25,26,26
-58,125,20,26,26,26,25,25,24,24,23,24,24,25,24,25,25,26,25,26,25,25,24,24,23,23,22,21,5,0,0,0,0,0,0,0,0,0,3,15,16,17,18,18,18,19,20,20,21,21,21,21,21,21,21,21,21,21,22,22,23,23,25,25,26
-58,125,20,30,30,29,29,28,28,27,27,27,28,27,28,28,28,29,29,29,29,27,27,27,26,25,25,25,7,0,0,0,0,0,0,0,0,0,5,18,18,19,20,20,21,21,22,23,23,24,24,24,24,24,25,24,24,25,25,26,27,27,28,29,30
-58,125,20,27,27,26,25,25,25,24,24,25,24,24,25,25,26,26,26,26,25,25,25,24,23,23,22,21,5,0,0,0,0,0,0,0,0,0,4,15,16,16,17,17,18,19,19,20,20,21,21,21,20,20,21,21,21,21,21,22,23,24,24,25,26
-58,125,20,26,26,26,25,25,25,24,24,24,25,25,24,25,26,26,26,26,26,25,24,24,23,23,22,21,5,0,0,0,0,0,0,0,0,0,4,16,16,17,17,18,18,19,19,20,20,21,22,22,22,21,21,22,21,21,22,22,23,24,25,26,26
-58,125,20,25,25,25,25,25,24,24,23,23,24,24,24,24,25,26,26,26,25,25,24,23,22,21,21,22,5,0,0,0,0,0,0,0,0,0,3,15,16,16,16,18,18,18,18,19,19,21,21,21,21,21,21,20,20,21,22,22,23,22,23,24,25
